"Subscription","ResourceGroup","StorageAccount","Region","Container","BlobStorage","LastModifiedTime"
"subscription 1","Azure_SQL_02","sqlupworkjana02","southeastasia","sqlbackup-3","ReadMe.txt","6/20/2021 12:27:41 AM +00:00"
"subscription 1","Azure_SQL_05","sqlupworkjana04","southeastasia","sqlbackup-6","variable.tf","6/20/2021 12:28:07 AM +00:00"
